,region,region_coord
0,Douro,"(41.453397, -5.1252011)"
1,Willamette Valley,"(45.3444247, -122.6583007)"
2,Navarra,"(42.61254875, -1.830787673361753)"
3,Alsace,"(48.24917645, 7.4074699518555)"
4,Napa Valley,"(22.41124455, 113.98039316440286)"
5,Alexander Valley,"(38.6712308, -122.8278697)"
6,Etna,"(37.7510251, 14.9940321)"
7,Central Coast,"(-33.3117096, 151.312067495083)"
8,Cafayate,"(-26.071047, -65.9800655)"
9,Mendoza,"(-34.787093049999996, -68.43818677312292)"
10,Ribera del Duero,"(41.675622000000004, -3.726459680944383)"
11,Virginia,"(37.1232245, -78.4927721)"
12,Sicilia,"(37.587794, 14.155048)"
13,Paso Robles,"(35.6267654, -120.6912456)"
14,Sonoma Coast,"(38.800990549999995, -123.007476481926)"
15,Cerasuolo di Vittoria,"(36.9727671, 14.5519145)"
16,Clarksburg,"(39.2806451, -80.3445341)"
17,Beaujolais-Villages,"(None, None)"
18,Dry Creek Valley,"(49.2318525, -124.7647323)"
19,Sonoma Valley,"(37.8212867, -85.9699148)"
20,McMinnville,"(45.2100367, -123.194463)"
21,Colchagua Valley,"(-34.548228, -71.4013194)"
22,Puglia,"(40.9842539, 16.6210027)"
23,Beaujolais,"(29.7857642, -90.7681473)"
24,Maule Valley,"(-35.5972284, -71.48868)"
25,Lake County,"(39.0505411, -122.7776556)"
26,Monticello,"(42.617236, 8.9546269)"
27,Brouilly,"(46.1039914, 4.646337)"
28,Monica di Sardegna,"(40.7171717, 8.568965060992301)"
29,Bordeaux Blanc,"(29.7834248, -98.2544488)"
30,North Coast,"(41.506534, -81.6939953)"
31,Maipo Valley,"(-34.60278525, -58.3779282)"
32,Calistoga,"(38.5787966, -122.5797054)"
33,Morellino di Scansano,"(42.712553650000004, 11.228051603392505)"
34,Barolo,"(44.6108408, 7.9428448)"
35,Rockpile,"(30.7059791, -104.2149139)"
36,Padthaway,"(-36.5860356, 140.52187338228197)"
37,Stellenbosch,"(-33.934444, 18.869167)"
38,Simonsberg-Stellenbosch,"(-33.883948, 18.9271246)"
39,Saint-Émilion,"(44.8931452, -0.1560662)"
40,Walker Bay,"(-34.5563889, 19.3416667)"
41,Barbera d'Alba,"(None, None)"
42,Santa Lucia Highlands,"(None, None)"
43,Santa Ynez Valley,"(34.608637, -120.10467742149733)"
44,Carmel Valley,"(36.48290245, -121.71417288463448)"
45,Dominio de Valdepusa,"(None, None)"
46,Chianti Classico,"(53.1398813, 8.214521)"
47,Brunello di Montalcino,"(43.078234, 11.4942595)"
48,Cahors,"(44.4495, 1.4364999)"
49,Moulin-à-Vent,"(46.2029456, 4.727418126420455)"
50,Aconcagua Valley,"(-32.6531487, -70.0119607)"
51,Loncomilla Valley,"(-28.5256367, -70.869904)"
52,Marlborough,"(42.3459271, -71.5522874)"
53,Alto Adige,"(46.65594215, 11.229637264169462)"
54,Chablis,"(47.8152073, 3.8001657)"
55,Arroyo Seco,"(21.4320532, -99.66683546670185)"
56,Salta,"(-25.1076701, -64.3494964)"
57,Anderson Valley,"(39.0600021, -123.4305338)"
58,Casablanca Valley,"(33.5950627, -7.6187768)"
59,Campania,"(40.860672, 14.843984)"
60,Rosso del Veronese,"(45.6286888, 10.8083183)"
61,St.-Romain,"(46.9982395, 4.7083847)"
62,Vino Nobile di Montepulciano,"(43.0716141, 11.8054571)"
63,Vernaccia di San Gimignano,"(None, None)"
64,Judean Hills,"(31.666667, 35.166667)"
65,Alentejo,"(38.0551003, -7.8605799)"
