,country,description,points,price,taster_name,variety,winery,Year,region,longitud,latitude
1,Portugal,"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",87,15.0,Roger Voss,Portuguese Red,Quinta dos Avidagos,2011,Douro,-5.1252011,41.453397
4,US,"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",87,65.0,Paul Gregutt,Pinot Noir,Sweet Cheeks,2012,Willamette Valley,-122.6670374,45.3442868
5,Spain,"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",87,15.0,Michael Schachner,Tempranillo-Merlot,Tandem,2011,Navarra,-1.830787673361753,42.61254875
7,France,"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",87,24.0,Roger Voss,Gewürztraminer,Trimbach,2012,Alsace,7.4074699518555,48.24917645
9,France,This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,87,27.0,Roger Voss,Pinot Gris,Jean-Baptiste Adam,2012,Alsace,7.4074699518555,48.24917645
10,US,"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",87,19.0,Virginie Boone,Cabernet Sauvignon,Kirkland Signature,2011,Napa Valley,113.98039316440286,22.41124455
11,France,"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",87,30.0,Roger Voss,Gewürztraminer,Leon Beyer,2012,Alsace,7.4074699518555,48.24917645
12,US,"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",87,34.0,Virginie Boone,Cabernet Sauvignon,Louis M. Martini,2012,Alexander Valley,-122.8278697,38.6712308
13,Italy,"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",87,,Kerin O’Keefe,Nerello Mascalese,Masseria Setteporte,2012,Etna,14.9940321,37.7510251
14,US,"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",87,12.0,Matt Kettmann,Chardonnay,Mirassou,2012,Central Coast,151.312067495083,-33.3117096
16,Argentina,"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",87,30.0,Michael Schachner,Malbec,Felix Lavaque,2010,Cafayate,-65.9800655,-26.071047
